game;id;hours;last_played;metascore;userscore;wilsonscore;sdbrating;userscore_count;release_date;win;mac;linux;steam deck;captions available;co-op any;controller support any;cross-platform multiplayer;family sharing;full controller support;geforce now;in-app purchases;includes level editor;mmo;multiplayer any;online co-op;online pvp;ps4 controllers;ps5 controllers;remote play any;remote play on phone;remote play on tablet;remote play on tv;single-player;stats;steam achievements;steam cloud;steam leaderboards;steam timeline;steam trading cards;steam workshop;valve anti-cheat enabled;wsgf mm;wsgf uw;wsgf ws;bulgarian;czech;danish;dutch;english;finnish;french;german;greek;hungarian;indonesian;italian;japanese;korean;norwegian;polish;portuguese - brazil;portuguese - portugal;romanian;russian;simplified chinese;spanish - latin america;spanish - spain;swedish;thai;traditional chinese;turkish;ukrainian;vietnamese
Company of Heroes 2;231430;;;80;80;80;79;64432;2013-06-25;x;x;x;x;;x;;;x;;;;;;x;x;x;;;;;;;x;x;x;x;;;x;x;;x;x;x;;x;;;x;;x;x;;;;x;;;;x;;;;x;;;x;;;;;;
Counter-Strike 2;730;1.06666666666667;;;87;87;87;8281262;2012-08-21;x;;x;x;;x;;x;;;x;x;;;x;;;;;x;x;x;x;;x;x;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
EVE Online;8500;0.333333333333333;;88;73;73;72;34480;2003-05-06;x;x;;x;;x;;;;;x;;;x;x;x;x;;;;;;;;;;;;;x;;;x;;x;;;;;x;;x;x;;;;;x;x;;;;;;x;x;;x;;;;;;
Hacknet;365450;;;82;93;93;91;15483;2015-08-12;x;x;x;;x;;;;x;;x;;x;;;;;;;;;;;x;;x;x;;;x;x;;;;;;;;;x;;x;x;;;;;x;x;;;;;;x;x;;x;;;;x;;
“Injustice: Gods Among Us Ultimate Edition”;242700;;;79;86;85;84;9225;2013-11-12;x;;;;;x;x;;x;x;;;;;x;;;;;x;;;x;x;;x;x;x;;x;;;;;;;;;;x;;x;x;;;;x;;;;x;x;;;x;;;x;;;;;;
Ring of Elysium;755790;1.66666666666667;;;74;74;73;100400;2018-09-19;;;;;;x;;;x;;x;;;;x;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;x;;;;;;;x;x;;;;;;;;
RPG Maker VX Ace;220700;;;;94;93;90;3019;2012-12-10;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;x;;x;x;;;;x;x;;;;x;;;;;;x;;;;;;
THE FINALS;2073850;0.1;;;75;75;74;181125;2023-12-07;x;;;x;;x;x;x;;x;;x;;;x;x;x;x;x;;;;;;;x;;;;;;;;;;;;;;x;;x;x;;;;;x;x;;x;x;;;;x;;x;;;x;x;;
“Warhammer 40,000: Mechanicus”;673880;0.05;;78;92;92;89;9736;2018-11-15;x;x;x;x;;;x;;x;x;x;;;;;;;;;x;;;x;x;;x;x;;;x;;;;;;;;;;x;;x;x;;;;;x;x;;;;;;x;x;;x;;;;;;
“Warhammer 40,000: Space Marine - Anniversary Edition”;55150;;;74;92;92;90;13152;2011-09-05;x;;;x;;x;x;;x;x;;;;;x;;;;;x;;;x;x;;x;;x;;;;;x;x;x;;;;;x;;x;x;;;;x;;;;;;;;x;;;x;;;;;;
