Name,Platform,Date (relative),Product_ID,Image,Subscription,Entitlement,Active,Downloadable,Pre-Order,Title_ID
Ghost of Tsushima,PS4,71,UP9000-PPSA02225_00-GHOSTDIRECTORPS5,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA11456_00/8/i_1e486a58daac73b20253de32d0afda01a2423e92a2134238c78c5d964c79c4f3/i/icon0.png,NONE,UP9000-CUSA11456_00-GHOSTSHIP0000000,true,true,,CUSA11456_00
Ghost of Tsushima,PS5,70,UP9000-PPSA02225_00-GHOSTDIRECTORPS5,https://image.api.playstation.com/sgst/prod/00/PPSA02225_00/app/info/38/fi_a553251380900c4a232580046ab0d67d3dcaf156675ee0e584acb09ea638a797/icon0.png,NONE,UP9000-PPSA02225_00-GHOSTSHIP0000000,true,true,,PPSA02225_00
Ghost of Tsushima - Bonus Content,PS4,69,UP9000-PPSA02225_00-GHOSTDIRECTORPS5,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA18331_00/1/i_4b36366d72fca5b05230a28d61e64d68da84922d926317d97e466635f7f6371f/i/icon0.png,NONE,UP9000-CUSA18331_00-GHOSTBONUS000001,true,true,,CUSA18331_00
Mortal Shell,PS4,68,UP3639-PPSA02868_00-6737177636262712,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA16364_00/11/i_be2a450de45676f13e6498ea28d65d154a789bb842c710097e5ef0494103ac7f/i/icon0.png,NONE,UP3639-CUSA16364_00-MORTALSHELL00001,true,true,,CUSA16364_00
Mortal Shell: Enhanced Edition,PS5,67,UP3639-PPSA02868_00-6737177636262712,https://image.api.playstation.com/sgst/prod/00/PPSA02868_00/app/info/26/f_e8edb5f532ebc6ca55d8eaabdccbcd35f764301c751541604579be10641de073/icon0.png,NONE,UP3639-PPSA02868_00-MORTALSHELL00001,true,true,,PPSA02868_00
SHADOW OF THE COLOSSUS,PS4,66,UP9000-CUSA08034_00-SOTC0000000000US,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA08034_00/1/i_8e6a959a7a683cefb059ca76f4b283f69172dcc9a6e732b2f3c90dc46687251f/i/icon0.png,NONE,UP9000-CUSA08034_00-SOTC0000000000US,true,true,,CUSA08034_00
Prince of Persia: The Lost Crown DEMO,PS5,65,UP0001-PPSA20229_00-MEMORYRETAILDEMO,https://image.api.playstation.com/sgst/prod/00/PPSA20229_00/app/info/2/fi_57838d79a0adb894f872d3838c4a7b1eeb0d779356c6747e9782287fd9e63c90/icon0.png,NONE,UP0001-PPSA20229_00-MEMORYRETAILDEMO,true,true,,PPSA20229_00
Marvel's Spider-Man: Miles Morales,PS5,64,UP9000-PPSA01411_00-MARVELSSMMORALES,https://image.api.playstation.com/sgst/prod/00/PPSA01411_00/app/info/53/fi_f36a198e008a0437116f9680b3dd6fa7e88c17970fd4121a317ede3b49ed2e0f/icon0.png,NONE,UP9000-PPSA01411_00-MARVELSSMMORALES,true,true,,PPSA01411_00
Uncharted™: Legacy of Thieves Collection,PS5,63,UP9000-PPSA05389_00-UNCHARTED4R00000,https://image.api.playstation.com/sgst/prod/00/PPSA05389_00/app/info/10/fi_9c738d71bd4359ab941622f9e52fa8768969509c061033851ccf69384247ee03/icon0_01.png,NONE,UP9000-PPSA05389_00-UNCHARTED4R00000,true,true,,PPSA05389_00
Grand Theft Auto III – The Definitive Edition,PS5,62,UP1004-PPSA05804_00-GTATRILOGYBUNDLE,https://image.api.playstation.com/sgst/prod/00/PPSA03527_00/app/info/8/fi_7bda29b341a575985ac482e7d3d1c43a165b3d3f18b59279bb362fe4df38942a/icon0.png,NONE,UP1004-PPSA03527_00-GTATHREE00000001,true,true,,PPSA03527_00
